순번,단지명,회사명,공장대표주소(도로명),생산품
1,전주도시첨단산업단지,(유)세미,"전라북도 전주시 덕진구 반룡로 109, 304호 (팔복동2가, 테크노빌A동)","LED방등,LED거실등,LED주방등"
2,전주도시첨단산업단지,(유)엔텍코리아,"전라북도 전주시 덕진구 반룡로 109, 110호 (팔복동2가, 테크노빌A동)",전기전자제어장비
3,전주도시첨단산업단지,(주)공공&상상,"전라북도 전주시 덕진구 반룡로 109, 201호(전북테크노파크 테크노빌A동) (팔복동2가)",디자인 문구
4,전주도시첨단산업단지,(주)나노솔루션,"전라북도 전주시 덕진구 반룡로 110-11, 전주기계탄소기술원복합동 1층 101 (팔복동2가)",카본나노튜브
5,전주도시첨단산업단지,(주)나노포커스레이,"전라북도 전주시 덕진구 원만성로 109, 전주시 덕진구 팔복동2가835-12 (팔복동2가)",의료용x전장비
6,전주도시첨단산업단지,(주)누리공간산업,"전라북도 전주시 덕진구 반룡로 109, 207호 (팔복동2가, 테크노빌A동)",3D프린터모형
7,전주도시첨단산업단지,(주)다인스,"전라북도 전주시 덕진구 반룡로 111, 나노기술집적센터 513.514.515호 (팔복동2가)",탄소제품 전기용
8,전주도시첨단산업단지,(주)대건에프앤에프,전라북도 전주시 덕진구 원만성로 119 (팔복동2가),두부및유사식품 외1
9,전주도시첨단산업단지,(주)덕진,"전라북도 전주시 덕진구 반룡로 109, 전북테크노파크테크노빌B동108호,110호 (팔복동2가)",파우치 아연공기전지
10,전주도시첨단산업단지,(주)랜드로드,"전라북도 전주시 덕진구 반룡로 109, 테크노빌 비동 107호 (팔복동2가)",비점오염저감장치
11,전주도시첨단산업단지,(주)메이커스코리아,"전라북도 전주시 덕진구 반룡로 109, 생산지원동(테크노빌)B동113호 (팔복동2가, 테크노빌A동)",3D프린터
12,전주도시첨단산업단지,(주)메타정보기술,"전라북도 전주시 덕진구 반룡로 109, (전북테크노파크 생산지원비동313호) (팔복동2가, 테크노빌A동)",주차관제기기
13,전주도시첨단산업단지,(주)바이오라인,"전라북도 전주시 덕진구 반룡로 111, 전자부품연구원 전북지역본부 자동차센서지원센터(IT동) (팔복동2가)",무선관수제어시스템
14,전주도시첨단산업단지,(주)벤투스,"전라북도 전주시 덕진구 반룡로 109, 벤처지원동 506호 (팔복동2가)","컨디셔너, 공기청정기"
15,전주도시첨단산업단지,(주)삼도환경,"전라북도 전주시 덕진구 반룡로 109, 전북테크노파크 테크노빌 A동 212호 (팔복동2가)",플라즈마 악취제거기
16,전주도시첨단산업단지,(주)서로바이오,"전라북도 전주시 덕진구 반룡로 109, 벤처지원동 311호 (팔복동2가)","두유 분말차, 분말 보양차"
17,전주도시첨단산업단지,(주)세스전북지점,"전라북도 전주시 덕진구 반룡로 109, 테크노빌 A동 312호 (팔복동2가)",비접촉전원공급장치
18,전주도시첨단산업단지,(주)스템디알,"전라북도 전주시 덕진구 반룡로 109, 테그노빌B동306,308~311호 (팔복동2가, 테크노빌A동)",화장품약용미누
19,전주도시첨단산업단지,(주)쓰리제이,"전라북도 전주시 덕진구 원만성로 106, 한국탄소융합기술원 창업보육센터 209호 (팔복동2가)",탄소나노튜브
