연번,매장명,소재지도로명주소,소재지연락번호,데이터기준일자
1,e편한마트,전라북도 전주시 완산구 효동2길 33-138 (효자동1가),063-229-7755,2020-10-31
2,K마트,전라북도 전주시 덕진구 한배미3길 17 (인후동1가),063-245-6584,2020-10-31
3,거성복지매장,전라북도 전주시 완산구 선너머로 40 (중화산동2가) ,063-225-1566,2020-10-31
4,거시기마트,전라북도 전주시 완산구 선너머4길 9-2 (중화산동1가) ,063-288-9153,2020-10-31
5,경기전슈퍼,전라북도 전주시 완산구 태조로 45 (교동) ,063-288-2425,2020-10-31
6,골드마트,전라북도 전주시 완산구 안터3길 18 (서신동) ,063-908-7815,2020-10-31
7,광명슈퍼,전라북도 전주시 덕진구 모래내3길 14-4 (인후동2가) ,063-252-3785,2020-10-31
8,광진하이퍼마트,전라북도 전주시 완산구 선너머로 16 (중화산동2가),063-224-3501,2020-10-31
9,국민청과슈퍼,전라북도 전주시 덕진구 매봉5길 28 (금암동),063-251-9082,2020-10-31
10,굴다리상회,전라북도 전주시 완산구 최명희길 7 (풍남동3가) ,063-286-4800,2020-10-31
11,굿모닝마트,전라북도 전주시 덕진구 진버들2길 16 (인후동1가) ,063-244-6774,2020-10-31
12,굿모닝마트 2호점,전라북도 전주시 완산구 효정3길 29 (효자동1가) ,063-282-6209,2020-10-31
13,굿모닝마트 삼천점,전라북도 전주시 완산구 삼천천변1길 11 (삼천동1가) ,063-227-4240,2020-10-31
14,굿슈퍼,전라북도 전주시 덕진구 추천1길 20 (팔복동2가) ,063-214-0322,2020-10-31
15,궁전마트, 전라북도 전주시 덕진구 팽나무1길 13 (인후동1가) ,063-245-7088,2020-10-31
16,그린마트,전라북도 전주시 완산구 선너머1길 12 (중화산동2가),063-222-3660,2020-10-31
17,금강마트,전라북도 전주시 덕진구 심방죽로 77 (인후동2가) ,063-246-5817,2020-10-31
18,금암기린슈퍼,전라북도 전주시 덕진구 조경단로 75 (금암동) ,063-252-4461,2020-10-31
19,기린슈퍼,전라북도 전주시 덕진구 진버들1길 61 (인후동1가) ,063-245-5014,2020-10-31
20,나경슈퍼,전라북도 전주시 완산구 성지산3길 17 (효자동1가) ,063-223-3832,2020-10-31
21,나들신신마트,전라북도 전주시 완산구 태평5길 10 (서노송동) ,063-254-0934,2020-10-31
22,나들편의점,전라북도 전주시 덕진구 무삼지3길 7 (인후동1가) ,070-4194-9478,2020-10-31
23,나마트, 전라북도 전주시 덕진구 진버들6길 7-9 (우아동2가),063-244-8561,2020-10-31
24,낙원슈퍼 휴게실,전라북도 전주시 덕진구 떡전로 18 (금암동) ,063-271-1858,2020-10-31
