연번,사업장명칭,소재지주소(도로명),소재지 지번주소,위도,경도,소재지전화번호,데이터기준일자
1,다사랑애견,전라북도 전주시 완산구 평화동1가 709-1 ,전라북도 전주시 완산구 장승배기로 194 (평화동1가),35.795822,127.133907,063-224-0090,2020-08-31
2,애견나라,전라북도 전주시 완산구 중노송동 498-22,전라북도 전주시 완산구 기린대로 165 (중노송동),35.822645,127.150239,063-247-0202,2020-08-31
3,완산애견,전라북도 전주시 완산구 서완산동2가 360-19,전라북도 전주시 완산구 용머리로 203 (서완산동2가),35.807916,127.132145,063-232-9484,2020-08-31
4,하나애견샵,전라북도 전주시 덕진구 덕진동2가 167-156번지 ,전라북도 전주시 덕진구 송천중앙로 17 (덕진동2가),35.848839,127.11856,063-274-0904,2020-08-31
5,벤지애견,전라북도 전주시 완산구 경원동3가 201 ,,35.822851,127.149283,063-261-4878,2020-08-31
6,올리브애견,전라북도 전주시 덕진구 송천1가 386-3,,35.856225,127.120053,063-253-9500,2020-08-31
7,쥬쥬애견,전라북도 전주시 완산구 효자동3가 1435-6,전라북도 전주시 완산구 서곡로 69 (효자동3가),35.835433,127.101144,063-255-0719,2020-08-31
8,짱구와동팔이,전라북도 전주시 완산구 다가동3가 64-18,전라북도 전주시 완산구 충경로 5-2 (다가동3가),35.817029,127.140211,063-287-0822,2020-08-31
9,화이트애견,전라북도 전주시 완산구 중노송동 498-25,전라북도 전주시 완산구 기린대로 163 (중노송동),35.822636,127.150409,063-287-9484,2020-08-31
10,가나다애견,전라북도 전주시 완산구 삼천동1가 606-2 ,전라북도 전주시 완산구 용리로 116 (삼천동1가),35.798516,127.122448,063-222-2073,2020-08-31
11,이브애견,전라북도 전주시 완산구 중노송동 2가 498-22,전라북도 전주시 완산구 기린대로 165 (중노송동),35.822567,127.150207,063-232-1728,2020-08-31
12,서신동물병원,전라북도 전주시 완산구 서신동 831-4 ,전라북도 전주시 완산구 서신로 33 (서신동),35.828575,127.11558,063-253-2743,2020-08-31
13,한울스토리,전라북도 전주시 덕진구 고랑동 612-11,전라북도 전주시 덕진구 삼례로 78-37(동산동),35.886126,127.079776,,2020-08-31
14,애견명가,전라북도 전주시 완산구 효자동1가 276-7,전라북도 전주시 완산구 용머리로 86 (효자동1가),35.806396,127.11945,063-228-4007,2020-08-31
15,탤렌트 애견샵,전라북도 전주시 완산구 효자동 3가 1716-16,전라북도 전주시 완산구 농소1길 7 (효자동3가),35.814138,127.096325,063-225-0012,2020-08-31
16,꿈을꾸는강아지,전라북도 전주시 완산구 평화동1가 576-5,전라북도 전주시 완산구 장승배기로 239 (평화동1가),35.798006,127.138314,063-908-5400,2020-08-31
17,홈플러스 전주완산점,전라북도 전주시 완산구 중노송동 495-6 ,전라북도 전주시 완산구 기린대로 170 (중노송동),35.823901,127.150018,063-263-2089,2020-08-31
18,롯데마트송천점,전라북도 전주시 덕진구 송천동1가 281-1 ,전라북도 전주시 덕진구 송천중앙로 82 (송천동1가),35.854767,127.120503,063-219-2500,2020-08-31
19,홈플러스전주점,전라북도 전주시 덕진구 우아동3가 733-1 ,전라북도 전주시 덕진구 백제대로 771 (우아동3가),35.847706,127.1529,063-249-8000,2020-08-31
20,홈플러스효자점,전라북도 전주시 완산구 효자동1가 431-5 ,전라북도 전주시 완산구 용머리로 31 (효자동1가),35.806782,127.11414,063-281-8000,2020-08-31
21,롯데마트덕진점,전라북도 전주시 덕진구 송천동1가 481-4 ,전라북도 전주시 덕진구 송천중앙로 153 (송천동1가),35.860897,127.121002,063-219-2500,2020-08-31
22,롯데마트전주점,전라북도 전주시 완산구 효자동2가 1234-3 ,전라북도 전주시 완산구 우전로 240 (효자동2가),35.816536,127.102483,063-249-6500,2020-08-31
23,모모애견하우스,전라북도 전주시 완산구 삼천동1가 559-2번지 ,전라북도 전주시 완산구 거마평로 106 (삼천동1가),35.80175,127.117001,,2020-08-31
24,퍼피랜드,전라북도 전주시 완산구 서노송동 568-55번지 ,전라북도 전주시 완산구 현무3길 78 (서노송동),35.822857,127.149381,063-908-5890,2020-08-31
25,멍멍아 놀자,전라북도 전주시 완산구 효자동1가 388번지 ,전라북도 전주시 완산구 거마평로 170 (효자동1가),35.807712,127.116404,063-283-9500,2020-08-31
26,밀레펫(이마트),전라북도 전주시 완산구 서신동 767 ,전라북도 전주시 완산구 당산로 111 (서신동),35.832738,127.120465,063-259-1051,2020-08-31
27,레이지포,전라북도 전주시 덕진구 송천동1가 818-1번지 ,전라북도 전주시 덕진구 용소로 91-12 (송천동1가),35.864465,127.118542,,2020-08-31
28,헬로펫 애견샵,전라북도 전주시 완산구 효자동1가 387번지 ,전라북도 전주시 완산구 거마평로 174 (효자동1가),35.808044,127.116267,,2020-08-31
29,애니몰하우스,전라북도 전주시 완산구 효자동3가 1731-3번지 ,전라북도 전주시 완산구 봉곡로 9 (효자동3가),35.811932,127.094824,,2020-08-31
30,현이펫,전라북도 전주시 덕진구 우아동2가 909-7번지 ,전라북도 전주시 덕진구 석소로 10 (우아동2가),35.828355,127.169963,063-243-8600,2020-08-31
31,제임스독,전라북도 전주시 완산구 중화산동2가 232-17번지 ,전라북도 전주시 완산구 영경1길 31 (중화산동2가),35.817689,127.126175,070-8826-2661,2020-08-31
32,마이펫 애견용품 할인마트,전라북도 전주시 덕진구 송천동1가 391-35번지 ,전라북도 전주시 덕진구 송천중앙로 104 (송천동1가),35.856097,127.120562,,2020-08-31
33,야옹아 멍멍해봐,전라북도 전주시 덕진구 덕진동2가 220-1번지 ,전라북도 전주시 덕진구 기린대로 541 (덕진동2가),35.846034,127.11992,063-275-0720,2020-08-31
34,탤렌트 캣,전라북도 전주시 완산구 서신동 258번지 ,전라북도 전주시 완산구 전룡로 53-3 (서신동),35.826908,127.11867,070-8111-0942,2020-08-31
35,헬로펫 애견용품 할인마트,전라북도 전주시 덕진구 인후동1가 848-1 ,전라북도 전주시 덕진구 무삼지로 94 (인후동1가),35.833794,127.16269,,2020-08-31
36,마카롱펫,전라북도 전주시 완산구 서신동 838번지 1층 ,"전라북도 전주시 완산구 서신로 19, 1층 (서신동)",35.826994,127.16269,,2020-08-31
37,낭만고양이,전라북도 전주시 완산구 효자동2가 1313-7번지 ,"전라북도 전주시 완산구 호암로 19, 105호 (효자동2가)",35.808116,127.096782,063-224-4546,2020-08-31
38,해피애견타운,전라북도 전주시 완산구 효자동1가 445-1번지 ,전라북도 전주시 완산구 거마평로 145 (효자동1가),35.805188,127.11631,,2020-08-31
39,pet365,전라북도 전주시 완산구 효자동3가 1724-2번지 ,전라북도 전주시 완산구 서원로 8 (효자동3가),35.813377,127.095217,,2020-08-31
40,이쁘개해줄개,전라북도 전주시 덕진구 송천동1가 486-56번지 ,전라북도 전주시 덕진구 송천중앙로 161 (송천동1가),35.861347,127.121112,063-255-0123,2020-08-31
41,보석애견,전라북도 전주시 완산구 평화동1가 706-4번지 ,"전라북도 전주시 완산구 모악로 4749 (평화동1가, 송강부동산)",35.793331,127.131785,063-221-1114,2020-08-31
42,유아독존,전라북도 전주시 덕진구 우아동2가 561-7번지 ,"전라북도 전주시 덕진구 석소로 84 (우아동2가, 윤현빌딩)",35.834487,127.167774,063-243-7100,2020-08-31
43,펫스토리,전라북도 전주시 완산구 서신동 773번지 ,"전라북도 전주시 완산구 백제대로 428 (서신동, 유디치과)",35.831375,127.123137,063-252-0780,2020-08-31
44,블루독,전라북도 전주시 완산구 중화산동2가 755-10번지 ,"전라북도 전주시 완산구 효자로 293 (중화산동2가, 쌍용자동차)",35.819285,127.117637,,2020-08-31
45,쌍방울애견전시장,전라북도 전주시 덕진구 금암동 461-9번지 ,"전라북도 전주시 덕진구 기린대로 353 (금암동, 코니문투어)",35.834669,127.134921,063-254-5709,2020-08-31
46,닥터펫,전라북도 전주시 완산구 서신동 산 997-8번지 ,전라북도 전주시 완산구 백제대로 378 (서신동),35.826877,127.123031,063-272-0075,2020-08-31
47,Lim`s,전라북도 전주시 완산구 서서학동 32-4번지 ,'전라북도 전주시 완산구 서학로 23 (서서학동),35.809699,127.152044,,2020-08-31
48,펫샵,전라북도 전주시 완산구 효자동1가 287-13번지 201호,"전주시 완산구 거마평로 162, 201호(효자동1가)",35.807696,127.116758,063-221-7582,2020-08-31
49,헬로펫,전라북도 전주시 완산구 평화동1가 710-4번지 ,"전라북도 전주시 완산구 장승배기로 200 (평화동1가, SC제일은행)",35.795984,127.134755,063-222-2041,2020-08-31
50,코코애견샵,전라북도 전주시 덕진구 우아동3가 602-9번지 ,전라북도 전주시 덕진구 호성로 4 (우아동3가),35.853528,127.154232,,2020-08-31
51,올리몰스 펫샵,전라북도 전주시 덕진구 송천동1가 809-3번지 ,전라북도 전주시 덕진구 송천중앙로 213 (송천동1가),35.866268,127.121148,063-275-7979,2020-08-31
52,DOG 똑똑,"전라북도 전주시 완산구 중화산로 128, DOG 똑똑 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 701-9 ,35.821915,127.118292,,2020-08-31
53,뱅갈온니,"전라북도 전주시 덕진구 아중로 173, 대건빌딩 2층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 920-5 ,35.827072,127.168306,,2020-08-31
54,Idolls Ragdoll Cattery,전라북도 전주시 덕진구 견훤로 368 (우아동3가),전라북도 전주시 덕진구 우아동3가 749-57 ,35.844097,127.153994,,2020-08-31
55,에이스 캣,"전라북도 전주시 덕진구 송천2길 26, 2층 (송천동1가)",전라북도 전주시 덕진구 송천동1가 417-11 ,35.859534,127.118428,,2020-08-31
56,고양이 별,"전라북도 전주시 덕진구 안골2길 5, 1층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 756-7 ,35.839104,127.156389,,2020-08-31
