구분,업소명,소재지(도로명),소재지전화번호,최신재지정일자,주된음식,데이터기준일자
1,전주함씨네밥상,전라북도 전주시 완산구 전주천동로 20 (교동),063 -211 -1064,2019-11-22,한식뷔페,2020-10-31
2,풍남정,전라북도 전주시 완산구 태조로 52 (전동),063 -285 -7782,2019-11-22,비빔밥,2020-10-31
3,신뱅이,전라북도 전주시 완산구 경기전길 153-9 (교동),063 -282 -3030,2019-11-22,"비빔밥,콩나물국밥",2020-10-31
4,교동떡갈비,전라북도 전주시 완산구 은행로 52 (풍남동3가),063 -288 -2232,2019-11-22,떡갈비,2020-10-31
5,삼백집,전라북도 전주시 완산구 전주객사2길 22 (고사동), 063- 284-2227,2019-11-22,콩나물국밥,2020-10-31
6,한국집,전라북도 전주시 완산구 어진길 119 (전동), 063- 284-2224,2019-11-22,비빔밥,2020-10-31
7,팔도명가,전라북도 전주시 완산구 서신천변1길 25 (서신동), 063- 284-1963,2019-11-22,참게장,2020-10-31
8,가족회관,전라북도 전주시 완산구 전라감영5길 17 (중앙동3가), 063- 284-0982,2019-11-22,비빔밥,2020-10-31
9,반야돌솥밥(본점),전라북도 전주시 완산구 홍산1길 6 (효자동2가), 063- 288-3174,2019-11-22,돌솥비빔밥,2020-10-31
10,백번집,전라북도 전주시 완산구 전라감영2길 15 (다가동1가), 063- 286-0100,2019-11-22,한정식,2020-10-31
11,송정원,전라북도 전주시 완산구 은행로 20-1 (풍남동1가), 063- 283-7663,2019-11-22,한정식,2020-10-31
12,풍남문한우촌,전라북도 전주시 완산구 팔달로 119-4 (전동), 063- 288-6020,2019-11-22,"소고기, 갈비탕",2020-10-31
13,송림일식,전라북도 전주시 완산구 전라감영3길 12-9 (중앙동2가), 063- 287-0854,2019-11-22,생선회,2020-10-31
14,종로회관,전라북도 전주시 완산구 전동성당길 98(전동), 063- 288-4578,2019-11-22,비빔밥,2020-10-31
15,시즌테이블,"전라북도 전주시 완산구 전주객사2길 74-3, 1층 (고사동)",063 -277 -7780,2019-11-22,"스파게티, 피자",2020-10-31
16,왱이집,전라북도 전주시 완산구 동문길 88 (경원동2가), 063- 287-6980,2019-11-22,콩나물국밥,2020-10-31
17,풍전콩나물국밥,"전라북도 전주시 완산구 동문길 73, 1층 (경원동2가)", 063- 231-0730,2019-11-22,콩나물국밥,2020-10-31
18,청학동버섯전골,전라북도 전주시 완산구 효자로 331 (중화산동2가), 063- 225-6860,2019-11-22,버섯전골,2020-10-31
19,다미원,전라북도 전주시 완산구 장승배기로 287-4 (평화동1가), 063- 283-0121,2019-11-22,"짜장면, 탕수육",2020-10-31
20,다래면옥,전라북도 전주시 완산구 백제대로 402 (서신동), 063- 255-4291,2019-11-22,냉면,2020-10-31
21,풀꽃세상채식뷔페,전라북도 전주시 완산구 우림로 1036-13 (중인동), 063- 221-4432,2019-11-22,채식뷔페,2020-10-31
22,이래면옥,전라북도 전주시 완산구 동문길 103 (경원동1가), 063- 288-6644,2019-11-22,"냉면, 갈비탕",2020-10-31
23,궁,"전라북도 전주시 완산구 천잠로 337, 1,2,3층 (효자동3가)", 063- 227-0844,2019-11-22,한정식,2020-10-31
24,청정오리떼,전라북도 전주시 완산구 새터로 1 (서신동), 063- 251-9252,2019-11-22,오리구이류,2020-10-31
25,호순이감자탕,전라북도 전주시 완산구 강변로 78 (삼천동1가), 063-221 -2489,2019-11-22,감자탕,2020-10-31
26,흑두부이야기,전라북도 전주시 완산구 서곡2길 30-19 (효자동3가), 063- 273-2332,2019-11-22,"흑두부보쌈, 전골",2020-10-31
27,정이품곱창본점,전라북도 전주시 완산구 신촌3길 6-4 (중화산동2가), 063- 227-8052,2019-11-22,곱창구이,2020-10-31
28,한상바오와갈비평화본점,전라북도 전주시 완산구 장승배기로 224 (평화동1가), 063- 225-0933,2019-11-22,갈비,2020-10-31
29,오복면가(오복냉면),"전라북도 전주시 완산구 천잠로 13 (삼천동2가, 293-1)", 063- 901-5292,2019-11-22,"냉면, 갈비탕",2020-10-31
30,예우랑중산점,전라북도 전주시 완산구 효자로 333 (중화산동2가), 063- 225-3201,2019-11-22,삼계탕,2020-10-31
31,남원본가추어탕,전라북도 전주시 완산구 신촌4길 18 (중화산동2가), 063- 225-3357,2019-11-22,추어탕,2020-10-31
