번호,회사명,인증상품명,소재지전화번호,소재지도로명주소,위도,경도,데이터기준일자
1,함씨네토종콩식품,두부/ 콩물/ 청국장,063-211-7955,전라북도 전주시 덕진구 신복 5길 10 (팔복동1가),,,2020-10-31
2,전주비빔밥(주),전주 비빔밥,063-214-0982,전라북도 전주시 덕진구 여실길 34 (여의동),,,2020-10-31
3,전주이강주,이강주,063-212-5765,전라북도 전주시 덕진구 매암길 28(원동 617),,,2020-10-31
4,NAVIS,기능성 침구류,063-275-9544,전라북도 전주시 덕진구 초포다리로 51 (호성동),,,2020-10-31
5,(주)명진,가정용 고무장갑,063-211-4652,전라북도 전주시 덕진구 추천로 237(팔복동1가),,,2020-10-31
6,태림전자(주),LED교통신호등/터널등자동점소등장치/무선원격가로등점멸기,063-231-8800,전라북도 전주시 완산구 춘향로 5234(대성동),,,2020-10-31
7,전주콩나물영농조합,전주 콩나물,063-245-3666,전라북도 전주시 덕진구 수리재길 13,,,2020-10-31
8,동화전산(주),전산출력용지/ POS롤용지,063-211-5134,전라북도 전주시 덕진구 상리로 42(팔복동 2가),,,2020-10-31
9,(유)성실섬유,한지사 양말/속옷/한지침구류,063-272-0763,전라북도 전주시 덕진구 기린대로 868-1,,,2020-10-31
10,청수계기,수도미터/ 수도미터 계량기 보호통,063-211-7792,전라북도 전주시 덕진구 구렛들2길 53(팔복동1가),,,2020-10-31
11,(주)이오렉스,이온화식 수처리기 (이오렉스),063-214-6977,전라북도 전주시 덕진구 비석날로 51(여의동),,,2020-10-31
12,북전주농업협동조합,볏단가리(쌀),063-211-8590,전라북도 전주시 덕진구 편운로 10(동산동),,,2020-10-31
13,두메산골영농조합법인,조해랑(닭고기),063-211-6684,전라북도 전주시 완산구 능안자구길 53(삼천동 3가),,,2020-10-31
14,(유)맛디자인,포기김치,063-232-6001,전라북도 전주시 완산구 춘향로5 237 (대성동),,,2020-10-31
15,주식회사 에니에스 ,원적외선 천정난방기,063-272-1288,전라북도 전주시 덕진구 반룡로 110 탄소기술원 알엔디동 205호,,,2020-10-31
16,엠아이비(주),칫솔,063-214-0217,전라북도 전주시 덕진구 상리1길 46(팔복동),,,2020-10-31
17,㈜다오코리아,매트,063-211-9979,전라북도 전주시 덕진구 백제대로 532,,,2020-10-31
18,(유)에스지우드,목재문/ 목재창,063-252-0407,전라북도 전주시 덕진구 새논밭길 24,,,2020-10-31
19,㈜리퓨터,데스크톱컴퓨터,063-253-3336,"전라북도 전주시 덕진구 팔과정로 20, 301호",,,2020-10-31
20,루미컴(주),LED조명,063-211-3223,전라북도 전주시 덕진구 상리1길 46,,,2020-10-31
21,㈜대경산전,수배전반,063-214-9911,전라북도 전주시 덕진구 신복로 26,,,2020-10-31
22,디자인농부,검은콩 미숫가루,063-542-5328,전라북도 전주시 덕진구 도강길 1-130,,,2020-10-31
23,㈜피치케이블,탄소발열벤치,063-211-2967,전라북도 전주시 덕진구 원만성로 106 (창업보육센터 212호),,,2020-10-31
24,미동체어,사무용의자,063-212-9994,전라북도 전주시 덕진구 상리1길 34 별관2동,,,2020-10-31
25,(유)현대어패럴,프랜스링영유아상하 실내·외복,063-276-1016,"전라북도 전주시 덕진구 기린대로 711, 502호",,,2020-10-31
26,미르기계,만능면취기/공구거치대,063-212-3658,"전라북도 전주시 덕진구 여산로 88-22, 3동 (여의동)",,,2020-10-31
27,㈜인에코,아이에코 블록,063-245-3004,"전라북도 전주시 덕진구 반룡로 109, 전북테크노파크 B동 305호",,,2020-10-31
28,주식회사 코엔,폴리에틸렌제관이음,063-213-6076,전라북도 전주시 덕진구 원만성로 59(팔복동),,,2020-10-31
29,전일기업,디자인가구,063-232-7804,전라북도 전주시 완산구 고덕산1길 46-54,,,2020-10-31
30,㈜손짱,생활한복,063-242-2202,전라북도 전주시 덕진구 동부대로 687,,,2020-10-31
31,천양피앤비(주),마음편한 한지벽지,063-283-2548,전라북도 전주시 완산구 한지길 112-5,,,2020-10-31
32,㈜풍년제과,PNB 우리밀초코파이,063-284-2737,전라북도 전주시 완산구 장승배기로 310-6,,,2020-10-31
