의료기관명,개설자명,의료기관우편번호(도로명),의료기관주소(도로명),병상수,전화번호,팩스번호,의료기관종별,,,
우리노인전문병원,정*****,54876,전라북도 전주시 덕진구 정여립로 978 (만성동),166,063-210-3600,,노인병원,,,
전주샘물아동병원,박*****,54969,"전라북도 전주시 완산구 세내로 285, 샘물아동병원 5층 (효자동3가)",50,063)230-7200,063-224-3550,병원,,,
온누리안과병원,문*****,54972,"전라북도 전주시 완산구 백제대로 325, 온누리안과 (중화산동2가)",30,063)277-2774,,병원,,,
박종혁믿음병원,박*****,54969,전라북도 전주시 완산구 홍산로 250-0 (효자동3가),75,063-224-5100,,병원,,,
전주문병원,문*****,55082,"전라북도 전주시 완산구 용머리로 106-0, 0동 (효자동1가,전주문병원)",40,063286-0000,,병원,,,
전주다솔아동병원,김*****,54966,"전라북도 전주시 완산구 우전로 250, 2~4층 (효자동2가)",72,063280-0800,,병원,,,
더세움병원,양*****,55019,전라북도 전주시 덕진구 서가재미2길 7 (인후동1가),128,243-9100,,병원,,,
의료법인영경의료재단호성전주병원,이*****,54902,전라북도 전주시 덕진구 동부대로 895 (호성동1가),128,063-240-8800,,병원,,,`
유앤미 병원,김*****,54954,전라북도 전주시 완산구 백제대로 361 (서신동),57,063-279-1500,,병원,,,
전주신세계정형외과병원,황*****,54838,전라북도 전주시 덕진구 송천중앙로 125 (송천동1가),51,063-270-1900,,병원,,,
미르피아 여성병원,박*****,55065,전라북도 전주시 완산구 쑥고개로 343 (효자동2가),56,063-211-1004,,병원,,,
전주우리들병원,진*****,55079,전라북도 전주시 완산구 쑥고개로 398-16 (효자동2가),90,063-715-3700,,병원,,,
온고을재활의학과병원,임*****,55097,전라북도 전주시 완산구 완산길 100 (서완산동1가),100,710-3300,,병원,,,
전주항병원,전*****,,전라북도 전주시 완산구 안행8길 56-7 (삼천동1가),37,228-6002,,병원,,,
드림솔병원,정*****,,전라북도 전주시 완산구 천잠로 507 (효자동3가),178,250-8000,,병원,,,
삼남재활의학과병원,김*****,,전라북도 전주시 완산구 영경3길 6 (중화산동2가),121,063-222-8080,,병원,,,
참병원,김*****,55093,전라북도 전주시 완산구 백제대로 114 (효자동1가),99,220-0600,,병원,,,
유로병원,최*****,,전라북도 전주시 완산구 효자로 169 (효자동3가),43,231-6565,,병원,,,
전주시티병원,이*****,54969,전라북도 전주시 완산구 세내로 277 (효자동3가),150,063-239-0116,,병원,,,
전주우리병원,김*****,55093,"전라북도 전주시 완산구 백제대로 140, 4,5층 (효자동1가, 효자메디컬프라자)",47,063-710-3130,,병원,,,
미르아동병원,송*****,55105,전라북도 전주시 완산구 백제대로 100 (효자동1가),56,063-229-0114,,병원,,,
수병원,이*****,54965,전라북도 전주시 완산구 서원로 63 (효자동2가),236,063-251-7200,,병원,,,
