기관명,사회서비스분야,주된목적,사업내용,인증일자,인증번호,전화번호,소재지도로명주소,데이터기준일자
㈜사람과환경,환경,일자리제공,전주시 재활용품 재활용 선별센터 운영,2008-01-07(2007-53),,229-52121661-6425,"전주시 완산구 백제대로 249, 4층 (중화산동2가)",2020-10-31
우리노인복지센터 행복나눔,간병,사회서비스제공,"간병돌보미·홈헬퍼 파견, 전문돌봄 서비스제공",2008-10-23(2008-85),,255-7179,"전주시 덕진구 전주천서로 321 (진북동, 우리노인복지센터)",2020-10-31
전주사회서비스센터,간병,사회서비스제공,"재가간병, 방문요양서비스 제공",2008-10-23(2008-86),2006-03-01,287-9770,전주시 완산구 덕산길 29-1(색장동),2020-10-31
(유)맛디자인,식품(음식),일자리제공,각종 김치 제조 및 판매,2010-01-21(2009-77),,231-7017,전주시 완산구 춘향로 5237 (대성동),2020-10-31
(유)맑은누리,환경,일자리제공,"학교, 건물, 다중이용시설 관리 및 청소·소독사업",2010-06-01(2010-26),,242-6013,"전주시 덕진구 서당길 37, 2층 (용정동)",2020-10-31
(유)아름다운환경,환경,일자리제공,학교 청소 방호 위탁용역(잡병선별 판매 및 재활용 매장운용) ,2010-07-29(2010-55),,232-8382,전주시 완산구 현무1길 31-7 3층 (경원동3가),2020-10-31
문화포럼나니레,문화예술,일자리제공,"전통문화, 뮤지컬 창작공연",2011-11-28(2011-106),2009-06-22,231-2553,전주시 완산구 전주객사2길 48 (고사동),2020-10-31
(사)타악연희원 아퀴,문화예술,기타형,"퓨전타악, 전통문화예술 콘텐츠 사업",2011-12-19(2011-151),,070-7558-4023,"전주시 완산구 장승배기로 342, 4층 (서서학동, 반석빌딩)",2020-10-31
두메산골 영농조합법인,식품(음식),일자리제공,"축산물(오리, 닭) 가공·유통사업",2011-12-19(2011-152),,211-6684,전주시 완산구 능안자구길 53 (삼천동3가),2020-10-31
㈜전북광역로컬푸드,식품(음식),일자리제공,친환경 안심 먹거리 식자재 도소매,2012-09-04(2012-57),,544-6290,전주시 덕진구 남정신기길 16 (남정동),2020-10-31
(사)전북예술문화원,문화예술,기타형,문화관광공연(오케스트라) 및 교육,2012-11-01(2012-85),2010-11-15,283-2511,전주시 완산구 내원당길 52-4 (대성동),2020-10-31
(사)교동아트,제조,일자리제공,"전통상품(한지사제품, 한스타일제품) 개발 및 판매",2012-11-01(2012-87),2010-11-15,287-1245,전주시 완산구 경기전길 89 (풍남동3가),2020-10-31
(사)꼭두,문화예술,혼합형,문화관광공연 및 HRD,2012-11-01(2012-84),2011-03-16,232-1416,"전주시 덕진구 전주천동로 364, 3층(진북동)",2020-10-31
(사)전통문화마을,문화예술,기타형,"전통예술공연 및 문화예술교육, 문화복지서비스",2012-11-01(2012-86),2011-03-16,232-1902,전주시 완산구 동문길 115-5 (경원동1가),2020-10-31
