순번,업체명,소재지,전화번호,영업상태
1,토속한과,전주시 완산구 태평3길 74-13 (태평동), 063- 254-5273,영업중
2,태양제과,"전주시 완산구 고덕산1길 46-7, 1층 (대성동)", 063-288 -6958,영업중
3,태봉제과,"전주시 완산구 팔달로 94-2 (전동,외1필지)", 063- 288-6802,영업중
4,보배제과,전주시 완산구 풍남문4길 18 (중앙동4가), 063- 288-7416,영업중
5,삼성식품(맛어묵),전주시 완산구 풍남문2길 124 (전동3가), 063- 288-3460,영업중
6,송철국수,전주시 완산구 전주천서로 137-5 (동완산동), 063- 284-1908,영업중
7,주식회사풍년제과,전주시 완산구 장승배기로 130 (평화동2가), 063- 226-2737,영업중
8,전주제제염사,전주시 완산구 팔달로 52 (서서학동), 063- 284-6374,영업중
9,오성제과,전주시 완산구 풍남문4길 17 (중앙동4가), 063- 288-2293,영업중
10,현대식품,전주시 완산구 곤지산1길 7 (동완산동), 063- 284-8229,영업중
11,쁘라떼베이커리,전주시 완산구 영경2길 11 (중화산동2가), 063- 224-9444,영업중
12,형제식품,"전주시 완산구 산월2길 19-8, 1층 (중화산동2가)", 063- 224-4525,영업중
13,백제얼음,전주시 완산구 안행9길 29-6 (효자동1가), 063-229 -0444,영업중
14,미락외식산업,전주시 완산구 정동길 13 (삼천동2가), 063- 223-8080,영업중
15,유한회사동창씨앤티,"전주시 완산구 맏내2길 13-6 (평화동2가,,6)", 063- 221-1050,영업중
16,(유)동건홀딩스,전주시 완산구 맏내2길 19-6 (평화동2가), 063- 229-9886,영업중
17,두부명가,전주시 완산구 서신천변12길 3 (서신동), 063- 275-3409,영업중
18,진보식품,전주시 완산구 인정3길 12 (중화산동2가), 063- 225-6068,영업중
19,청해식품,전주시 완산구 평화9길 5-3(평화동2가),063 -221 -2074,영업중
20,전북외식산업,전주시 완산구 외칠봉1길 27-7 (효자동1가), 063- 287-6705,영업중
21,삼천민속한과,전주시 완산구 송정1길 22 (삼천동1가),,영업중
22,우리유과,전주시 완산구 서학로 98 (동서학동), 063- 283-1072,영업중
23,대흥상사,전주시 완산구 완산6길 25 (동완산동),063 - 288-0504,영업중
24,전주하나로떡집,전주시 완산구 평화15길 10-6 (평화동2가), 063- 228-8956,영업중
25,유한회사맛디자인,전주시 완산구 춘향로 5237 (대성동), 063- 231-7017,영업중
26,청솔농산,전주시 완산구 중산로 11 (중화산동2가), 063- 224-9415,영업중
27,일성,"전주시 완산구 외칠봉1길 7 (효자동1가,외2필지1동)",063 -282 -2962,영업중
28,전주식품,전주시 완산구 태평4길 17 (태평동), 063- 252-3043,영업중
29,삼육농산,전주시 완산구 풍남문1길 9-6 (전동), 063- 285-8727,영업중
30,전주기전대학(학교기업제이케이푸드),전주시 완산구 전주천동로 264 (다가동4가),063 -280 -5298,영업중
31,전주대궁중약고추장,"전주시 완산구 천잠로 303 (효자동2가, 47동 한지산업관(창업보육센터))", 063- 220-2092,영업중
32,정일품떡전문점,전주시 완산구 서곡7길 2 (효자동3가), 063- 251-7300,영업중
33,일등식품,"전주시 완산구 당산로 11-1, 상가2동 지하1층 1호 (서신동)",,영업중
34,떡사랑컴(Com),"전주시 완산구 팔달로 43 (서서학동,외1필지)", 063-2839- 991,영업중
35,태양촌농산,전주시 완산구 서곡7길 18-10 (효자동3가), 063- 236-2204,영업중
36,삼현식품,전주시 완산구 하거마1길 26 (삼천동1가), 063- 236-5226,영업중
37,평화제과,"전주시 완산구 월선길 5, 3동 (삼천동3가)", 063- 227-1934,영업중
38,참맑은식품,"전주시 완산구 거마평로 139, 삼성효자맨션102동 1층 7호 (효자동1가)",063 -221 -3823,영업중
39,더드림에프씨,"전주시 완산구 솟대2길 37-2, 1층 (삼천동1가)", 063-2460-084,영업중
40,태인식품,전주시 완산구 난전들로 220-32 (평화동2가),063 -253 -3530,영업중
41,화심순두부전주점,전주시 완산구 서원로 339 (중화산동1가),063 -231 -6500,영업중
42,재영홀딩스,"전주시 완산구 중산1길 15, 2동 (중화산동2가)",063 -237 -2744,영업중
43,(주)에스비앙,전주시 완산구 중화산로 116 (중화산동2가), 063- 228-9279,영업중
44,가보자식품,"전주시 완산구 춘향로 5237, 1층 (대성동)",063 -212 -3755,영업중
45,(주)조이에프앤비,"전주시 완산구 메너머4길 43, 1층 (중화산동2가)",063 -244 -1991,영업중
46,초록,"전주시 완산구 송정4길 1, 1층 (삼천동1가)",,영업중
47,전주서원시니어클럽(은빛웰빙),전주시 완산구 따박골로 57-6 (중화산동2가),063 -224 -7483,영업중
48,블랙스프,전주시 완산구 흑석1길 106 (서서학동),,영업중
49,기흥상사,전주시 완산구 화산천변3길 11-4 (중화산동2가),063 -272 -0031,영업중
50,러브미쌀과자,전주시 완산구 하거마6길 6 (삼천동1가),,영업중
51,커피팩토리,전주시 완산구 안행5길 16 (효자동1가),,영업중
52,혼담은홍삼,전주시 완산구 하거마1길 5 (삼천동1가),0632-3623-53,영업중
53,양지골참두부,"전주시 완산구 성지산로 62, 1층 (삼천동1가)",063 -223 -3022,영업중
54,두레농산,전주시 완산구 신봉3길 28-1 (효자동1가),,영업중
55,서은옥푸드,전주시 완산구 태진로 44-9 (태평동),    -270 -4899,영업중
56,비사벌식품,전주시 완산구 평화19길 13-7 (평화동1가),063 -222 -2465,영업중
57,동네방네김부각,전주시 완산구 효동2길 14-23 (효자동1가),063 -223 -8082,영업중
58,(주)휴림,"전주시 완산구 전주객사2길 24 (고사동,2층)",070 -8600-3100,영업중
59,동암자활자립장,"전주시 완산구 천잠로 275, 3동 (효자동3가)",063 -226 -6589,영업중
60,밥스터커피,전주시 완산구 문학대6길 1 (효자동3가),,영업중
61,평화상회,전주시 완산구 신촌3길 8 (중화산동2가),,영업중
62,위대한밥상,전주시 완산구 한두평4길 17 (중화산동2가),063 -253 -7887,영업중
63,(유)창대식품,전주시 완산구 객원길 57-26 (대성동),063 -282 -3111,영업중
64,우석대학교전주한방문화센터식품사업부,전주시 완산구 어은로 46 (중화산동2가),063 -232 -2500,영업중
65,찬미식품,전주시 완산구 평화로 213 (평화동1가),063 -228 -4141,영업중
66,늘마루 협동조합,전주시 완산구 서신천변6길 4 (서신동),,영업중
67,전주 온고을 맛김,전주시 완산구 노송여울2길 76 (서노송동), 063-252 -0852,영업중
68,하루의 아침,전주시 완산구 정동길 13 (삼천동2가),,영업중
69,혜미강 전통발효식품,전주시 완산구 모악산자락길 270-21 (원당동),,영업중
70,싱싱코리아,전주시 완산구 정동길 22-27 (삼천동2가),063 -224 -0031,영업중
71,주식회사천년누리푸드,전주시 완산구 현무3길 91 (서노송동),063 -227 -4883,영업중
