순번,관할기관,가맹점명,도로명전체주소,지번전체주소
1,완산구,"CU(구,훼미리마트)(전주완산구)",전국 훼미리마트 편의점,
2,완산구,코리아세븐(전주완산구),서울 중구 남창동 소월로3 롯데손해보험빌딩,
3,완산구,지에스리테일(GS25)(전주완산구),,서울 영등포구 문래동6가 10
4,완산구,바이더웨이(완산),서울 중구 남창동 소월로3 롯데손해보험빌딩,
5,완산구,(주)이마트위드미(전주완산구),,서울특별시 성동구 성수동 2가 281-4 푸조비즈타워
6,중앙동,한스델리중앙점,,전북 전주시 완산구 고사동 196-1 2층(중앙동)(중앙동 스타벅스 맞은편)
7,중앙동,마트유(태평점),,전라북도 전주시 완산구 태평동 11-5(중앙시장 근처)
8,중앙동,롯데리아 전주고사점,전라북도 전주시 완산구 전주객사5길 22-3 (전주시내 금강제화 골목),
9,풍남동,전북마트,,전라북도 전주시 완산구 전동 2-244(송약국 사거리)
10,풍남동,풍원,,전라북도 전주시 완산구 풍남동1가 34-2(동부시장 천하추동 사거리)
11,풍남동,내집앞슈퍼,,전라북도 전주시 완산구 교동 115-2 (한옥마을 내)
12,풍남동,신신슈퍼,,전라북도 전주시 완산구 경원동1가 10-2(홍지서점 옆)
13,풍남동,교동슈퍼,,전라북도 전주시 완산구 교동 976-3 (낙수정 버스종점)
14,노송동,남북로이마트,,전라북도 전주시 완산구 서노송동 690-34 (전주농협 뒷편)
15,노송동,보성하이퍼마켓,,전라북도 전주시 완산구 중노송동 251-2 (중노송동 사무소 앞)
16,노송동,신공알뜰쇼핑,,전라북도 전주시 완산구 중노송동 250-5 (노송동 주민센터 옆)
17,노송동,빵아저씨,,전라북도 전주시 완산구 중노송동 505-11 (진안사거리 근처)
18,노송동,만민마트,,전라북도 전주시 완산구 중노송동 213-5 (제일고 정문 근처)
19,노송동,롯데리아 전주시청점,전라북도 전주시 완산구 기린대로 236,
20,동서학동,김밥본부,전주시 완산구 천경로 26-1(동서학동 교대후문 ok마트 맞은편),
21,서서학동,다온레스토랑,전주시 완산구 흑석로 30 (흑석골 근처),
22,서서학동,새벽마트,전라북도 전주시 완산구 흑석로 56 (서서학동),
23,서서학동,주식회사 심플,"전라북도 전주시 완산구 공수내로 9 (서서학동,2층) (봉수내 다리 근처)",
24,서서학동,정자마트,,전라북도 전주시 완산구 서서학동 978-1 (우정아파트 상가)
25,서서학동,청산마트,,전북 전주시 완산구 서서학동 978-6 (청산아파트 입구)
26,서서학동,황기순칼국수 전주서학점,전주시 완산구 팔달로 19 (서서학동) 동아의원 1층건물,
27,중화산1동,롯데리아 중화산점,전라북도 전주시 완산구 백제대로 224,
28,중화산1동,꼬꼬마분식,전북 전주시 완산구 따박골6길 38(중화산동2가) 화산초 후문 계단 밑,
29,중화산1동,(유)유명마트,전주시 완산구 따박골6길 52(중화산동2가) (예수병원 근처),
30,중화산1동,짱이네분식,전주시 완산구 서원로 406,
31,중화산1동,피자마루 중화산점,,전북 전주시 완산구 중화산동2가 534-1 (기업은행 옆)
32,중화산2동,파리바게트 중산로점,전북 전주시 완산구 중화산로 75(중화산동2가) 중산타운아파트 앞,
