번호,시설명,소재지전화번호,정원,운영방법,소재지도로명주소,위도,경도,데이터기준일자
1,전주 영아원,063-222-1559,39,법인,전라북도 전주시 완산구 중산2길 7,35.814686,127.121052,2020-11-06
2,호성 보육원,063-211-8582,80,법인,전라북도 전주시 덕진구 추천로 217-28,35.855756,127.112195,2020-11-06
3,삼성 휴먼빌,063-221-7001,45,법인,전라북도 전주시 완산구 만지길 20-15,35.821512,127.091196,2020-11-06
4,삼성자립 생활관,063-221-7002,30,법인,전라북도 전주시 완산구 만지길 24,35.821512,127.091196,2020-11-06
5,우리집 그룹홈,063-288-1091,7,개인,전라북도 전주시 완산구 오정2길 22-7,35.83439,127.060512,2020-11-06
6,사랑의보금자리 그룹홈,063-288-3378,7,개인,전라북도 전주시 완산구 덕산길 38-8,35.782395,127.196137,2020-11-06
7,디딤돌 그룹홈,063-273-1575,7,개인,전라북도 전주시 덕진구 삼송3길 41 B/101,35.843889,127.137334,2020-11-06
8,아미고의 집 그룹홈,063-214-4041,7,법인,전라북도 전주시 덕진구 편운로 26-1,35.871527,127.07953,2020-11-06
9,건강한가족 그룹홈,063-245-0917,5,개인,전라북도 전주시 덕진구 어은로 92-1,35.820939,127.129449,2020-11-06
10,포도원 그룹홈,063-283-0909,7,개인,전라북도 전주시 완산구 서원로 272 1/106,35.811677,127.124123,2020-11-06
11,꿈꾸는집 그룹홈,063-225-0013,7,개인,"전라북도 전주시 완산구 따박골5길 47, 5층",35.810297,127.127441,2020-11-06
12,징검다리 그룹홈,063-278-1202,7,개인,전라북도 전주시 덕진구 삼송3길 41 A/202,35.844432,127.13767,2020-11-06
13,해피투게더 그룹홈,063-252-3427,7,개인,전라북도 전주시 덕진구 명주4길 26-2,35.843282,127.149562,2020-11-06
14,사랑애샘터 그룹홈,063-246-1549,7,개인,전라북도 전주시 덕진구 호성로 132 진흥더블파크a 108/1005,35.862956,127.148078,2020-11-06
15,한울 그룹홈,070-4118-5692,7,개인,전라북도 전주시 완산구 서원로 272 2/810,35.81171,127.12457,2020-11-06
16,해피하우스 그룹홈,070-8625-0083,5,개인,전라북도 전주시 완산구 거마서로 63,35.798072,127.119387,2020-11-06
17,플러스 그룹홈,063-226-4027,7,개인,전라북도 전주시 완산구 거마평로 189-47 효자 성원@ 1/101,35.809062,127.114939,2020-11-06
18,둘하나 그룹홈,070-7579-6928,7,개인,전라북도 전주시 완산구 강변로 220-16 삼호@ 2/103,35.809688,127.113751,2020-11-06
19,감람나무 그룹홈,063-905-6691,7,개인,"전라북도 전주시 완산구 학봉2길 11, 115호",35.806078,127.154334,2020-11-06
20,소망의집 그룹홈,063-276-8291,7,개인,전라북도 전주시 덕진구 태진로 61 동양@ A/104,35.826288,127.136329,2020-11-06
21,새희망 그룹홈,063-285-7772,5,개인,전라북도 전주시 완산구 장승배기8길 13 영창공원맨션 나/104,35.8029922,127.1376943,2020-11-06
22,푸르니그룹홈,063-282-0324,7,개인,전라북도 전주시 덕진구 세병로 42 102/105,35.781466,127.129979,2020-11-06
23,기쁨 그룹홈,063-281-5039,7,개인,"전라북도 전주시 완산구 효천중앙로 20, 113/2501",35.797533,127.10458,2020-11-06
