어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
e편한세상어린이집,전라북도,전주시 완산구,민간,26,6,"전라북도 전주시 완산구 여울로 161 관리동(서신동, e편한세상)",063-251-2131,,,0,4,,,2020-10-31
NPS국민연금어린이집,전라북도,전주시 덕진구,직장,110,18,전라북도 전주시 덕진구 기지로 180,063-713-6888,,,1,20,,,2020-10-31
SK뷰 생글어린이집,전라북도,전주시 완산구,민간,45,8,"전라북도 전주시 완산구 태평2길 22 관리동(태평동, 태평SKVIEW)",063-277-4879,,,0,8,,,2020-10-31
가나어린이집,전라북도,전주시 덕진구,민간,30,8,전라북도 전주시 덕진구 안덕원1길 41 (우아동3가),063-244-1355,,,0,7,,,2020-10-31
가람어린이집,전라북도,전주시 완산구,민간,39,3,전라북도 전주시 완산구 정동길 1-8 (삼천동2가),063-229-6775,,,0,0,,,2020-10-31
가온길어린이집,전라북도,전주시 덕진구,민간,49,8,전라북도 전주시 덕진구 견훤왕궁로 251 (인후동2가) 1524-29,063-245-9482,,,0,8,,,2020-10-31
가온어린이집,전라북도,전주시 덕진구,가정,20,5,"전라북도 전주시 덕진구 천마산로 100 109동 103호(송천동1가, 진흥더블파크)",063-278-8152,,,0,4,,,2020-10-31
가은어린이집,전라북도,전주시 완산구,민간,31,6,"전라북도 전주시 완산구 삼천천변1길 46 관리동(삼천동1가, 흥건삼천1차)",063-226-7563,,,0,5,,,2020-10-31
개구쟁이어린이집,전라북도,전주시 완산구,가정,20,3,전라북도 전주시 완산구 하거마4길 16 (삼천동1가),063-226-4352,,,0,5,,,2020-10-31
거북이어린이집,전라북도,전주시 덕진구,가정,20,6,"전라북도 전주시 덕진구 호성동1가 호성로 40 105동 105호(호성동1가,엘지동아)",063-242-8211,,,0,4,,,2020-10-31
