연번,등록번호,상호명,소재지,등록년월일,데이터기준날짜,
1,가1701-0638,공인중개사서신사무소,전라북도 전주시 완산구 전룡로 83(서신동),1985-12-06,2020-09-30,
2,가1701-0867,유희란공인중개사사무소,전라북도 전주시 완산구 쑥고개로 377,1990-08-10,2020-09-30,
3,가1701-0888,종로투자공인중개사사무소,전라북도 전주시 완산구 용머리로 193(효자동1가),1991-01-09,2020-09-30,
4,나1701-488,선별공인중개사사무소,전라북도 전주시 완산구 장승배기로 32-9(삼천동1가),1992-02-29,2020-09-30,
5,가1701-0912,그린공인중개사사무소,전라북도 전주시 완산구 거마평로 113(효자동1가),1992-06-04,2020-09-30,
6,나1701-0499,데이타공인중개사사무소,전라북도 전주시 완산구 서원로 208(효자동1가),1992-06-11,2020-09-30,
7,가1701-0911,설산공인중개사사무소,전라북도 전주시 완산구 거마평로 11(삼천동1가),1992-07-28,2020-09-30,
8,가1701-0981,나래공인중개사사무소,전라북도 전주시 완산구 쑥고개로 299(효자동2가),1994-06-08,2020-09-30,
9,가1701-1028,LBA21세기공인중개사사무소,전라북도 전주시 완산구 평화18길 25-10(평화동1가),1995-10-13,2020-09-30,
10,가1701-1046,빙그레공인중개사사무소,"전라북도 전주시 완산구 모악로 4680, 1층 102호 (평화동2가)",1997-01-31,2020-09-30,
11,가1701-01-0080,오운공인중개사사무소,전라북도 전주시 완산구 거마평로 34,1997-05-08,2020-09-30,
12,가1701-01-0083,김식례공인중개사사무소,"전라북도 전주시 완산구 홍산로 495, 상가 102호 (서신동, e-편한세상)",1997-12-24,2020-09-30,
13,가1701-01-0086,상림공인중개사사무소,전라북도 전주시 완산구 효자로 100,1998-03-26,2020-09-30,
14,가1701-1096,SOS부동산공인중개사사무소,전라북도 전주시 완산구 거마평로 108,1999-07-02,2020-09-30,
15,가1701-1110,행운공인중개사사무소,전라북도 전주시 완산구 맏내로 130,1999-07-29,2020-09-30,
16,가1701-1121,서부공인중개사사무소,전라북도 전주시 완산구 메너머3길 20,1999-09-10,2020-09-30,
17,가1701-1153,금강공인중개사사무소,전라북도 전주시 완산구 쑥고개로 377,2000-05-19,2020-09-30,
18,가1701-1177,원스톱부동산컨설팅중개사무소,전라북도 전주시 완산구 유연로 266(중화산동2가),2001-02-09,2020-09-30,
19,가1701-1187,효자공인중개사사무소,전라북도 전주시 완산구 용머리로 187(효자동1가),2001-04-09,2020-09-30,
20,가1701-1191,부동산코리아 공인중개사사무소,"전라북도 전주시 완산구 양지2길 52-13, 상가2동 104호 (평화동2가, 평화동신아파트)",2001-04-23,2020-09-30,
21,가1701-1193,세종공인중개사사무소,전라북도 전주시 완산구 전룡로 106,2001-04-24,2020-09-30,
22,45111-2017-00021,네오비전주부동산공인중개사사무소,"전라북도 전주시 완산구 홍산남로 47, 302호",2001-07-31,2020-09-30,
23,가1701-2024,호산나공인중개사사무소,전라북도 전주시 완산구 쑥고개로 401,2001-12-11,2020-09-30,
24,가1701-01-0002,신한공인중개사사무소,"전라북도 전주시 완산구 당산로 17, 상가 114동 103호 (서신동, 신일아파트)",2002-01-09,2020-09-30,
25,가1701-2056,세일공인중개사,전라북도 전주시 완산구 효자로 267(중화산동2가),2002-03-14,2020-09-30,
26,가1701-2075,코리아공인중개사,전라북도 전주시 완산구 평화로 198(평화동1가),2002-05-24,2020-09-30,
27,가1701-2100,조아공인중개사사무소,전라북도 전주시 완산구 거마평로 190(효자동1가),2002-09-02,2020-09-30,
