연번,병의원,시군명,도로명주소,전화번호,특이사항,작성기준일
1,김동인정신건강의학과,전라북도 전주시,완산구 안행3길 10,063-223-7591,,2020-11-03
2,김임정신건강의학과,전라북도 전주시,완산구 팔달로 237,063-272-7676,(예약필수),2020-11-03
3,김형준휴정신건강의학과,전라북도 전주시,완산구 용리로 57-3,063-715-2522,,2020-11-03
4,드림솔병원,전라북도 전주시,완산구 천잠로 507,063-250-8020,,2020-11-03
5,로뎀힐 의원,전라북도 전주시,완산구 전라감영로 34,063-231-0688,목요일 오전 휴진,2020-11-03
6,마음의평화정신건강의학과,전라북도 전주시,완산구 용머리로 57,063-225-7582,,2020-11-03
7,마음편한정신건강의학과,전라북도 전주시,완산구 백제대로 120,063-225-1675,목요일 오후 휴진,2020-11-03
8,맑은정신건강의학과,전라북도 전주시,완산구 충경로 50,063-232-2479,"예약필수 / 수, 목 오전 휴진",2020-11-03
9,오영미정신건강의학과,전라북도 전주시,완산구 당산로 106,063-272-0890,,2020-11-03
10,윤정흠정신건강의학과,전라북도 전주시,완산구 온고을로 62,063-276-1100,,2020-11-03
11,이한샘신경과의원,전라북도 전주시,완산구 당산로 108,063-276-8550,,2020-11-03
12,장앤김정신건강의학과,전라북도 전주시,완산구 팔달로 212,063-284-8310,,2020-11-03
13,전주기독병원,전라북도 전주시,완산구 거마평로 185,063-220-7188,,2020-11-03
14,전주병원,전라북도 전주시,완산구 한두평 3길 13,063-220-7214,,2020-11-03
15,전주본병원,전라북도 전주시,완산구 유연로 276,063-220-0300~5,,2020-11-03
16,전주시노인복지병원,전라북도 전주시,완산구 능안자구길 80,063-220-9700,,2020-11-03
17,조광현 정신건강의학과,전라북도 전주시,완산구 장승배기로 208,063-237-5050,,2020-11-03
18,최윤주신경과,전라북도 전주시,완산구 서원로 350,063-232-7582,수요일 오후 휴진,2020-11-03
19,치유숲정신건강의학과,전라북도 전주시,완산구 서원로 320,063-232-8575,,2020-11-03
20,하현주신경과,전라북도 전주시,완산구 용머리로 62,063-227-7989,수요일 오후 휴진,2020-11-03
21,효사랑가족요양병원,전라북도 전주시,완산구 용머리로 77,063-711-1170,,2020-11-03
22,김태형정신건강의학과,전라북도 전주시,"덕진구 건산로 193, 2층",063-283-7575,,2020-11-03
23,다온 정신건강의학과,전라북도 전주시,덕진구 아중로 152,063-246-4535,,2020-11-03
24,대자인병원,전라북도 전주시,덕진구 견훤로 390,063-240-2001,,2020-11-03
25,두사랑신경과,전라북도 전주시,덕진구 백제대로 686,063-246-7001,,2020-11-03
26,맘정신건강의학과,전라북도 전주시,덕진구 기린대로 467,063-274-7800,,2020-11-03
27,배철정신건강의학과,전라북도 전주시,덕진구 사평로 38,063-277-3332,,2020-11-03
28,양윤정신경과,전라북도 전주시,덕진구 기린대로 479-2,063-273-7255,,2020-11-03
29,엘림정신건강의학과,전라북도 전주시,덕진구 팔달로 381,063-276-7575,,2020-11-03
30,오근영정신건강의학과,전라북도 전주시,덕진구 송천중앙로136 2층,063-285-8000,예약필수 / 목요일 오후 휴진,2020-11-03
31,우리정신건강의학과,전라북도 전주시,덕진구 안덕원로 159,063-274-7142,수요일 오후 휴진,2020-11-03
32,유상은정신건강의학과,전라북도 전주시,덕진구 안덕원로 152,063-273-0013,,2020-11-03
33,전주고려병원,전라북도 전주시,덕진구 안덕원로 367,063-240-7300,,2020-11-03
34,최명수정신건강의학과,전라북도 전주시,덕진구 백제대로 685,063-256-3300,,2020-11-03
35,허병원,전라북도 전주시,덕진구 조경단로 103,063-254-5599,,2020-11-03
36,현대정신건강의학과,전라북도 전주시,덕진구 기린대로 272,063-254-7561,,2020-11-03
37,호성 전주병원,전라북도 전주시,덕진구 동부대로 895,063-240-8800,,2020-11-03
