시설명,위치,매립(운영)기간,면적,매립(용)량,관리기간,비  고
호동골 쓰레기 매립장,전라북도 전주시 덕진구 동부대로 352-30,‘95.1~’00.5,"99,141㎡",870천㎥,‘00.5~’20.5,
서신대체 쓰레기 매립장,전라북도 전주시 완산구 삼천동 3가889-7,‘02.4~’04.6,"50,925㎡",907천㎥,‘04.6~’24.6,
효자대체 쓰레기 매립장,전라북도 전주시 완산구 효자동3가 1587,‘05.5~’06.11,"16,000㎡",116천㎥,‘06.12~’26.11,
음식물류폐기물 자원화시설장,전라북도 전주시  완산구 삼천동3가 749-5,‘16.11~’35.10,"연면적: 8,272㎡",300톤/일,,"리싸이클링 대지면적 :44,160㎡"
재활용선별처리장,전라북도 전주시  완산구 삼천동3가 749-5,‘16.11~’35.10,"연면적: 3,163.71㎡",60톤/일,,
전주권 광역1단계 쓰레기매립장,전라북도 완주군 이서면 선비로 1363-92,‘97.12.1~’21.7.9,"135,248㎡","1,925천㎥",,
전주권 광역2단계 쓰레기매립장,전라북도 완주군 이서면 선비로 1363-92,‘06.7.10~’43.11.13,"86,766㎡",990천㎥,,
전주권소각자원센터,전라북도 전주시 완산구 정여립로 625,‘06.9.30~’26.9.29,"98,951㎡",400톤/일,,
자원순환특화단지,전라북도 전주시 완산구 정여립로 651,‘13.12~,"대지: 80,009.3㎡",230㎥/일,,폐수종말처리시설 8개업체 유치
전주시 종합Recycling-Town,전라북도 전주시 완산구 삼천동 3가 749-5일원,‘10.3~’16.3,대지: 56.796㎡,음식물 300톤(일) 재활용시설 60톤(일),,하수슬러지 자원화시설 150톤/일 16.9.30준공
