순번,상호명,영업소도로명소재지,전화번호,업종
1,뉴서울사,전라북도전주시덕진구심방죽2길22(인후동1가),063-246-6836,세탁업
2,미광세탁소,전라북도전주시덕진구명주1길12(인후동2가),063-246-4510,세탁업
3,새하얀세탁소,전라북도전주시덕진구상리로7(팔복동2가),063-211-1093,세탁업
4,삼오세탁소,전라북도전주시덕진구반월동374번지4호삼오@상가2/104,063-213-3599,세탁업
5,호남사,전라북도전주시덕진구진버들1길92(우아동2가),063-242-3914,세탁업
6,현성사,전라북도전주시덕진구모래내3길7(금암동),063-272-2255,세탁업
7,청룡사,전라북도전주시덕진구권삼득로418(덕진동2가),063-274-8724,세탁업
8,명동세탁소,전라북도전주시덕진구금암4길2(금암동),063-252-6358,세탁업
9,매일세탁소,전라북도전주시덕진구솔내2길63(송천동1가),063-225-7154,세탁업
10,성심컴퓨터세탁,전라북도전주시덕진구우아동3가743번지148호,063-241-6131,세탁업
11,영창세탁소,전라북도전주시덕진구솔내2길65(송천동1가),063-272-4697,세탁업
12,덕수컴퓨터세탁소,전라북도전주시덕진구숲정이2길39(진북동),063-274-9195,세탁업
13,신동아세탁소,전라북도전주시덕진구호성동1가731번지4호,063-241-1566,세탁업
14,우아컴퓨터크리닝,전라북도전주시덕진구도당산4길45(우아동3가),063-241-6067,세탁업
15,신동세탁소,"전라북도전주시덕진구붓내1길10(송천동2가,신동비사벌@상가)",063-253-0880,세탁업
16,오성유토피아세탁소,전라북도전주시덕진구덕진동2가20번지,063-275-1144,세탁업
17,드라이데이,전라북도전주시덕진구심방죽로69(인후동2가),063-242-2465,세탁업
18,빛나라세탁소,전라북도전주시덕진구쪽구름3길47(동산동),063-212-9269,세탁업
19,늘봄세탁소,"전라북도전주시덕진구안골5길15(우아동3가,효성@상가2호)",063-245-9549,세탁업
20,비사벌백미컴퓨터크리닝,전라북도전주시덕진구송천2길7(송천동1가),,세탁업
21,삼호세탁소,"전라북도전주시덕진구안덕원로311-10(인후동1가,삼호@상가1호)",063-242-5272,세탁업
22,백양특수세탁,전라북도전주시덕진구명주5길17(인후동2가),063-246-3238,세탁업
23,종합세탁,전라북도전주시덕진구심방죽로81(인후동2가),063-246-8788,세탁업
24,성은세탁소,전라북도전주시덕진구우아4길19(우아동3가),063-241-2763,세탁업
25,하가루벤스세탁소,"전라북도전주시덕진구가리내4길19(덕진동2가,1동1층일부)",063-272-0877,세탁업
26,잭슨세탁소,"전라북도전주시덕진구용산1길12(금암동,금암상가@1층3호)",063-277-3772,세탁업
27,지구컴퓨터크리닝,전라북도전주시덕진구덕진광장로8(덕진동1가),063-275-2084,세탁업
28,빛나라세탁공장,전라북도전주시덕진구진버들1길30(인후동1가),063-244-1550,세탁업
29,백양사,전라북도전주시덕진구건산3길16(진북동),063-274-2125,세탁업
30,서호세탁소,"전라북도전주시덕진구송천로27(송천동1가,서호1차@상가2/204)",063-276-9035,세탁업
31,육일세탁소,전라북도전주시덕진구매봉5길27(금암동),063-272-9985,세탁업
32,한양컴퓨터세탁사,전라북도전주시덕진구송천동1가621번지5호,063-252-0828,세탁업
33,무지개세탁소,"전라북도전주시덕진구용소로101(송천동1가,무지개상가A/104)",063-254-7768,세탁업
34,뉴대명세탁소,"전라북도전주시덕진구시천로39(송천동2가,2층1호)",063-274-8997,세탁업
35,화이트세탁소,전라북도전주시덕진구동가재미2길28-4(인후동1가),063-245-5950,세탁업
