번호,업체명,소재지도로명주소,소재지지번주소,주요상품,소재지전화번호,위도,경도,데이터기준일자
1,전주전통한지원,전주시 완산구 한지길 100-10,전주시 완산구 풍남동3가 53-9,각종 한지상품,063-232-6591,35.81607,127.153492,2020-10-31
2,천일한지,전주시 덕진구 신복천변2길 18-27,전주시 덕진구 팔복동1가 169-4,한지,063-211-1957,35.857208,127.109046,2020-10-31
3,용인한지,전주시 덕진구 신복천변2길 18-25,전주시 덕진구 팔복동1가 169-6,한지 ,063-212-5514,35.857264,127.109127,2020-10-31
4,성일한지,전주시 덕진구 신복천변2길 18-17,전주시 완산구 팔복동1가 168,한지,063-214-3869,35.857785,127.109079,2020-10-31
5,고감한지엔페이퍼,전주시 덕진구 반암3길 31-1,전주시 덕진구 우아동3가 272,"한지, 한지 상품 등",063-237-1238,35.846045,127.164622,2020-10-31
6,고궁한지,전주시 완산구 흑석1길 48,전주시 완산구 서서학동 968-7,한지,063-283-5680,35.800245,127.149302,2020-10-31
7,공예마을,전주시 완산구 은행로 66,전주시 완산구 교동 80-2,한지공예품 등,063-283-3538,35.814224,127.152436,2020-10-31
8,교동아트 ,전주시 완산구 경기전길 89,전주시 완산구 풍남동3가 67-9,한지공예품 등,063-287-1244,35.815618,127.151185,2020-10-31
9,경인상사,전주시 완산구 은행로 64,전주시 완산구 교동 79-3,각종 한지사 상품 등,063-283-7285,35.814454,127.152428,2020-10-31
10,꽃숙이공예공방촌,전주시 완산구 한지길 68-8,전주시 완산구 풍남동3가 33-5,닥종이공예 등,,35.817356,127.153124,2020-10-31
11,다인공예방,전주시 완산구 태조로 14,전주시 완산구 풍남동3가 60-3,각종 한지상품 등,063-284-5300,35.815073,127.153185,2020-10-31
12,대성한지,전주시 완사구 전주천동로 30-9,전주시 완산구 교동 152-2,"한지, 한지체험 등",063-284-5533,35.811949,127.157098,2020-10-31
13,㈜대한특수한지,전주시 덕진구 신복천변3길 17,전주시 덕진구 팔복동1가 219-1,한지,063-211-0411,35.85814,127.10669,2020-10-31
14,미당,전북 전주시 완산구 홍산로 237,효자동2가 1244-3,"한지공예, 천연염색",063-288-5270,35.815009,127.105469,2020-10-31
15,미선공예사(부채박물관),전주시 완산구 은행로 67,전주시 완산구 교동 64-6,합죽선 등,063-283-5010,35.814184,127.152905,2020-10-31
16,민속공예사,전주시 완산구 객원길 3-14,전주시 완산구 대성동 240-9,"부채, 한지공예",063-287-8015,35.799019,127.176357,2020-10-31
17,박금숙닥종이인형연구소,전주시 완산구 태조로 12-7,전주시 완산구 풍남동3가 58-7,한지공예품 등,,35.815396,127.153505,2020-10-31
18,전라북도우수상품관,전주시 완산구 한지길 110,전주시 완산구 풍남동3가 16-8,"한지벽지, 한지 등",063-288-2548,35.815483,127.153821,2020-10-31
19,전주한지협동조합,전주시 완산구 한지길 112-5,전주시 완산구 풍남동3가 16-12,"한지, 한지수의, 한지마스크 등 ",063-231-9811,35.815556,127.153641,2020-10-31
20,지사랑(김혜미자공방),전주시 완산구 한지길 106-2,전주시 완산구 풍남동3가 16-3,한지공예품 등,063-232-3207,35.815964,127.153838,2020-10-31
21,㈜천년한지테크,전주시 완산구 팔달로 157-3,전주시 완산구 경원동1가 104-16,한지납골함 등,063-232-1815,35.816442,127.147261,2020-10-31
22,한지 앤 유라,,,한지공예품 등,063-223-6673,,,2020-10-31
