주차장명,주차면수,운영시간,당일최고요금,주차요금,주 소,전화번호,비고
오거리 주차장,198면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 팔달로 217-21,239-2768,유료주차장
건산천1 주차장,78면,24시간(연중무휴),"4,000원","기본(30):500, 추가(15):250",전주시 덕진구 숲정이 5길 7,239-2768,유료주차장
건산천2 주차장,68면,24시간(연중무휴),"4,000원","기본(30):500, 추가(15):250",전주시 덕진구 태진로 125-22,239-2768,유료주차장
덕진광장 주차장,33면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 덕진구 덕진광장로 3,239-2768,유료주차장
삼천2동 주차장,194면,24시간(연중무휴),"4,000원","최초1시간 무료주차/ 이후 기본(30):500, 추가(15):250",전주시 완산구 상거마 4길 24,239-2768,유료주차장
중화산2동 주차장,89면,24시간(연중무휴),"4,000원","최초1시간 무료주차/ 이후 기본(30):500, 추가(15):250",전주시 완산구 신촌3길 28-4,239-2768,유료주차장
서신동 주차장,131면,24시간(연중무휴),"4,000원","최초1시간 무료주차/ 이후 기본(30):500, 추가(15):250",전주시 완산구 당산로 56,239-2768,유료주차장
종합경기장 주차장,638면,07:00~23:00,"4,000원","기본(30):500, 추가(15):250",전주시 덕진구 기린대로 451,239-2768,유료주차장
실내체육관 주차장,150면,07:00~23:00,"4,000원","기본(30):500, 추가(15):250",전주시 덕진구 권삼득로 308,239-2768,유료주차장
한옥마을 제1 주차장,301면,24시간(연중무휴),"12,000원","기본(30):1,000, 추가(15):500",전주시 완산구 기린대로 99,239-2768,유료주차장
한옥마을 제2 주차장,175면,24시간(연중무휴),"12,000원","기본(30):1,000, 추가(15):500",전주시 완산구 어진길 30-10,239-2768,유료주차장
한옥마을 노상주차장,245면,"하절기 10:00~19:00,동절기 09:00~18:00","12,000원","기본(30):1,000, 추가(15):500","전주시 기린대로, 전주천서로",239-2768,유료주차장
동물원 주차장,840면,09:00~18:00(연중무휴),"1,000원","▶선불 1,000원(시간제한없음)▶25인승 이상 - 선불 2,000원(시간제한없음)",전주시 덕진구 소리로 68,239-2768,유료주차장
서부신시가지(도청),46면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 홍산북로 75,239-2768,유료주차장
서부신시가지(농협),51면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 홍산북로 53,239-2768,유료주차장
서부신시가지(다은),50면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 홍산2길 5-12,239-2768,유료주차장
서부신시가지(국민),67면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 홍산1길 4-13,239-2768,유료주차장
서부신시가지(홍산),122면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 홍산남로 45-20,239-2768,유료주차장
서부신시가지(비보이),124면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 홍산남로 83-17,239-2768,유료주차장
노송천 주차장,68면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 노송여울2길 108,239-2768,유료주차장
모악산,180면,24시간,무료,무료,전주시 완산구 중인1길 254,,무료주차장
가련산,40면,24시간,무료,무료,전주시 덕진구 기린대로 535,,무료주차장
근영여고 앞,46면,24시간,무료,무료,전주시 완산구 백제대로 270,,무료주차장
이중본뒤,33면,24시간,무료,무료,전주시 완산구 산월1길 10,,무료주차장
신일강변 APT 옆,48면,24시간,무료,무료,전주시 완산구 강변로 98,,무료주차장
아중지구 롯데APT 옆,70면,24시간,무료,무료,전주시 덕진구 정언신로151,,무료주차장
아중지구 부영APT 옆,88면,24시간,무료,무료,전주시 덕진구 인교6길 13,,무료주차장
아중지구 밀레니엄 옆,73면,24시간,무료,무료,전주시 덕진구 정신언로 178,,무료주차장
아중지구 산림청옆,62면,24시간,무료,무료,전주시 덕진구 무삼지2길 7,,무료주차장
색장동 만남의 광장,68면,24시간,무료,무료,전주시 완산구 부남길24,,무료주차장
호성동 만남의 광장,30면,24시간,무료,무료,전주시 덕진구 완주로6,,무료주차장
우아1동 공영주차장,28면,24시간,무료,무료,전주시 덕진구 우아4길6,,무료주차장
