연번,판매소명 ,사업장 주소
1,형제슈퍼,완산구 전라감영3길 12-5(중앙동 2가 44-6)
2,금성쌀집,완산구 고사동 133-2(시내신포만두옆골목)
3,조흥슈퍼,완산구 문화광장로 1(고사동 7-1)
4,부부슈퍼,완산구 전주객사3길 75 (고사동 321-8)
5,GS25(전주중앙점),완산구 전주객사4길 47 (고사동 155-3)
6,세븐일레븐(중앙점),완산구 충경로 17 (중앙동 1가 33-1)
7,씨유(전주고사점),완산구 전주객사4길 74 (고사동 172-1)
8,에이원쇼핑편의점,완산구 전주객사3길 42 (고사동 395-6)
9,제일슈퍼,완산구 전라감영3길 24 (중앙동 2가 36-7)
10,우신철물공구,완산구 태평2길 14-1(태평동 61-70)
11,환영슈퍼,완산구 전라감영로 27 (다가동 1가 52-5)
12,유명슈퍼,완산구 전라감영로 14-1(다가동 2가 87-2 수도탕앞)
13,형제식품,완산구 현무1길 38 (경원동 3가 28-5 )
14,큐마트편의점,완산구 전주객사4길 73-6(고사동 288-7(cgv옆))
15,아시아슈퍼,완산구 전라감영2길27-1(다가동3가 103-1)
16,루비나슈퍼,완산구 풍남문4길 25-26 (중앙동 4가 31-18)
17,성모슈퍼(다가,완산구 전라감영1길14(다가동1가 67-3)
18,써티하우스,완산구 팔달로 262-9(서노송동 647-11)
19,미니슈퍼,완산구 전주객사3길 26-5(고사동 427-1)
20,프랜드마트,완산구 전라감영5길 26 (경원동 1가 88-2)
21,썬플러스(주),완산구 동문길 108-5(경원동 1가 108)
22,고향슈퍼,완산구 전주객사3길 6(중앙동 2가 34-1)
23,편의점사랑(경원점),완산구 충경로 100 (경원동 3가 78-2)
24,전주시보건소,완산구 전라감영로 33 (중앙동 4가 30-1)
25,정슈퍼,완산구 전라감영2길 16 (다가동 1가 16)
26,바이더웨이(고사점),완산구 전주객사5길 46 (고사동 23-1 세븐일레븐)
27,미니스톱(전북도청점),완산구 전라감영4길 1(중앙동 4가 16-3)
28,LOVE IS 편의점,완산구 충경로 52-1(중앙동 3가 51-1)
29,부광물산,완산구 전주객사4길 67(고사동 366-1)
30,훼미리마트(영화의거리점),완산구 전주객사4길74-50(고사동 186)
31,부성마트,완산구 전주객사1길80(다가동4가 64-1)
32,정수마트,완산구 충경로130(경원동3가 93-35)
33,플라워35,완산구 충경로3-1(다가동 3가 64-26)
34,GS25(노벨리나점),완산구 전주객사4길19(고사동 412-2)
35,맹호철물열쇠,완산구 기린대로129 (경원동3가 93-31)
36,태화유통,완산구 풍남문2길107(전동3가 75-1)
37,한옥마을슈퍼,완산구 현무2길 42 (경원동3가189)
38,역전철물상사,완산구 전주객사5길83(고사동 222)
