"연번","표시위치또는 장소","형식","규격","양면사용(6개소)","급지","기본사용료(천원)","행정구역"
"1","대성동 은석골동부로삼거리 정면","반자동식","620*100","","4","2000","완산구"
"2","대성동 은석골동부로삼거리 측면","반자동식","620*120","","4","2000","완산구"
"3","서학동 좁은목약수터사거리","반자동식","600*100","","2","3000","완산구"
"4","전동 싸전다리 전면","반자동식","620*100","","3","2500","완산구"
"5","서학동 싸전다리 전면","반자동식","600*100","","4","2000","완산구"
"5","서학동 싸전다리 후면","반자동식","600*100","후면","4","2000","완산구"
"6","풍남동 풍남초교사거리담장(좌)","반자동식","620*100","","2","3000","완산구"
"7","풍남동 풍남초교사거리담장(우)","반자동식","620*100","","2","3000","완산구"
"8","다가동 다가교 우 (전면)","반자동식","620*100","","2","3000","완산구"
"8","다가동 다가교 우 (후면)","반자동식","620*100","후면","3","2500","완산구"
"9","다가동 다가교 좌 (후면)","반자동식","615*100","후면","3","2500","완산구"
"9","다가동 다가교 좌 (전면)","반자동식","620*100","","특","4080","완산구"
"10","다가동 다가공원 앞(전면)","반자동식","620*100","","3","2500","완산구"
"11","완산동 완산교 옆(전면)","반자동식","620*100","","3","2500","완산구"
"12","평화동 리젠시빌아파트입구","반자동식","620*120","","2","3000","완산구"
"13","평화동 주공그린아파트202동옆","반자동식","620*100","","2","3000","완산구"
"14","평화동 주공아파트5단지입구","반자동식","620*120","","3","2500","완산구"
"15","평화동 주공아파트4단지 앞","반자동식","600*100","","3","2500","완산구"
"16","평화동 주공아파트3단지 대로변","반자동식","600*100","","3","2500","완산구"
"17","평화동 평화광장 사거리(좌)","반자동식","600*100","","2","3000","완산구"
"18","평화동 평화광장 사거리(우)","반자동식","600*100","","2","3000","완산구"
"19","삼천동 세창아파트사거리(좌)","반자동식","620*100","","특","4080","완산구"
"20","삼천동 세창아파트사거리(우)","반자동식","600*100","","1","3500","완산구"
"21","삼천동 우성그린아파트삼거리","반자동식","620*100","","4","2000","완산구"
"22","삼천동 거마공원 삼천지구대옆","반자동식","600*100","","4","2000","완산구"
"23","삼천동 주공4단지사거리","반자동식","600*100","","2","3000","완산구"
"24","효자동 남전주KT사거리","반자동식","615*100","","1","3500","완산구"
"25","효자동 성원골드아파트도로변","반자동식","620*120","","2","3000","완산구"
