시설장명,시설현황,운영시간,전용 사용료(대관 사용료),시설 입장료,대여료,주 소,전화번호,비고
월드컵경기장,"- 부지면적 : 473,293㎡   (경기장 408,790, 만남의 광장 64,503)- 수용인원 : 43,141석(주경기장 42,595. 보조 546)- 주차면수 : 12개소 2,328면(옥외 2,103, 옥내 225)- 주  경기장 : 7,140㎡(105m×68m)- 보조경기장 : 7,140㎡(105m×68m). 육상트랙 8레인- 잔디  종류 : 켄터키블루그래스 + 페레니얼그래스",- 09:00 ~ 18:00,"- 주경기장(축구경기시) : 500,000원(3시간)- 보조경기장(축구경기시) : 200,000원(3시간) ※ 공휴일 및 야간 50%가산(토요일 포함)",,,전주시 덕진구 기린대로 1055,063-239-2546,
월드컵골프장,"- 부지면적 : 154,139㎡  ? 건축면적 : 1,057.73㎡- 1,626.71㎡  (클럽하우스 1,305.63  관리동 267.08, 그늘집 54)- 주차면수 : 142면- 홀 수 : 9홀 2,645m","- 하절기(3월~10월)   05:00 ~ 19:00- 동절기(11월~2월)   06:00 ~ 19:00- 하절기연장(따로공지)   04:46 ~ 19:35",,"-평일 : 26,000(전주시민)          14,500(18세이하 골프특기생)          23,200(3급이상 장애인)          26,000(국가유공자 및 3급미만 장애인)          29,000(전주시외 일반시민)          26,000(전주시외 국가유공자 및 3급미만)-휴일 : 34,000(전주시민)          19,000(18세이하 골프특기생)          30,400(3급이상 장애인)   ",,전주시 덕진구 온고을로 672,063-239-2670,
서바이벌경기장,"- 서바이벌 경기장 : 1,460㎡- 통제실 등 : 137.5㎡- 실내사격장 : 8m, 2사대- 수용인원 : 최대 22명",- 10:00 ~ 18:00,,"-서바이벌 체험장 : 12,000(일반)                          8,400(어린이, 단체)                          9,600(청소년, 군인)                          ※ 1인 1게임-실내사격장 : 2,000(일반)                  1,400(어린이, 단체)                  1,600(청소년, 군인)                   ※ 1게임 30발",,전주시 덕진구 기린대로 1055 월드컵경기장내,063-239-2644,
종합경기장 육상장,"- 면 적 : 15,670㎡",- 06:00 ~ 23:00,"- 육상경기 : 50,000원- 기타행사 : 150,000원   ※ 공휴일 및 야간 50%가산",,,전주시 덕진구 기린대로 451 ,063-239-2556,
종합경기장 축구장,"- 면 적 : 7,933㎡",- 06:00 ~ 23:00,"- 필 드 : 축구경기 3시간당 70,000원    - 기타행사 : 250,000원  ※ 공휴일 및 야간 50% 가산 ",,,전주시 덕진구 기린대로 451 ,063-239-2556,
종합경기장 야구장,"- 면 적 : 14,476㎡",- 06:00 ~ 18:00,"- 야구1게임 : 50,000원 - 기타행사시 : 200,000원   ※ 공휴일 및 야간 50% 가산 ",,,전주시 덕진구 기린대로 451 ,063-239-2556,
"화산체육관 종합관(배드민턴,농구,탁구)","- 지상1층 면적 : 2,273㎡- 지하1층 면적 : 2,412㎡",- 06:00 ~ 21:30,"- 전용사용료  체육경기(1회 8시간) : 40,000  체육경기외(1회 8시간) : 150,000  영리 행사(1회 8시간) : 300,000   ※ 공휴일 및 야간 50% 가산, 초과시간 20% 가산   ※ 부대시설사용료 별도","- 이용료  배드민턴, 탁구, 농구(성인 2시간) : 1,000  배드민턴, 탁구, 농구(청소년 2시간) : 800  배드민턴, 탁구, 농구(어린이 2시간) : 700  배구(1코트 4시간) : 30,000","- 배드민턴 라켓 : 2,000- 농구공 : 1,000- 탁구라켓 : 500",전주시 완산구 백제대로 310,063-239-2577,#NAME?
화산체육관 실내골프장,"- 화산체육관 종합관 지하1층- 면 적 : 790㎡- 연습타석 : 11개- 스윙분석기 : 1개-퍼팅연습장 : 1개","- 평일 : 06:00~22:00- 주말,공휴일 : 9:00~18:00",,"- 성인 2시간 : 5,000- 청소년 2시간 : 4,000- 어린이 2시간 : 3,500- 월정기권 : 60,000",,전주시 완산구 백제대로 310,063-239-2678,
화산체육관 빙상경기장,"- 지상1층 면적 : 2,181㎡- 지하1층 면적 : 2,181㎡",- 09:00 ~ 18:00,"- 전용사용료(1시간 단위)  체육경기 : 60,000  체육경기외 행사(학교단체) : 60,000  체육경기외 행사(일반단체) : 240,000  체육경기외 행사(영리행사) : 300,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도","- 이용료(개인)  어른 : 3,000  청소년 : 2,400  어린이 : 2,100 ※ 스케이트 대여비 별도- 이용료(단체 20인 이상)  어른 : 2,100  청소년 : 1,680  어린이 : 1,470 ※ 스케이트 대여비 별도","- 스케이트 대여비  어른 : 2,000  청소년 : 2,000  어린이 : 2,000",전주시 완산구 백제대로 310,063-239-2578,
완산수영장,"- 경영풀 : 10레인(50m×25m)- 다이빙풀: (33m×25m)","- 평일  동절기 : 06:00 ~ 20:00  하절기 : 06:00 ~ 21:00- 토요일   토요일 : 06:00 ~ 17:00- 일요일 및 공휴일  일요일 : 10:00 ~ 17:00  공휴일 : 10:00 ~ 17:00","- 전용사용료(경영풀)  체육경기 : 500,000  체육경기 외 : 750,000   - 전용사용료(다이빙풀)  체육경기 : 300,000  체육경기 외 : 500,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도","- 경영풀 이용료(개인)  성인 : 3,000  청소년, 군인 : 2,500  어린이, 노인 : 2,200  유아 : 1,000 - 경영풀 이용료(단체 20명 이상 30% 할인)- 다이빙풀(3시간) : 10,000",,전주시 완산구 쑥고개로 366-7,063-239-2580,
